"filename", "language", "Dart", "Groovy", "Swift", "Properties", "XML", "JSON", "C++", "HTML", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\data\repository\doctor_repository_impl.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\domain\entities\doctor.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\domain\repository\doctor_repository.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\domain\usecases\get_all_doctor.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\page\get_doctor.dart", "Dart", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 5, 135
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\bloc\daily_quotes\daily_quotes_bloc.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\bloc\daily_quotes\daily_quotes_event.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\bloc\daily_quotes\daily_quotes_state.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\bloc\mode_message\mode_message_bloc.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\bloc\mode_message\mode_message_event.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\bloc\mode_message\mode_message_state.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 28
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\data\datasource\meditation_remote_datasource.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\data\model\daily_quote_model.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 34
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\data\model\mood_message_model.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\data\reposiroty\meditation_repository_impl.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\domain\entities\daily_quotes.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\domain\entities\mood_message.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\domain\repository\meditation_repository.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\domain\usecase\get_daily_quote.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\domain\usecase\get_mood_message.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\page\meditation_screen.dart", "Dart", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 241
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\widgets\custom_mood_bottomsheet.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 68
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\widgets\drawer_widget.dart", "Dart", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 133
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\widgets\feeling_button.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 51
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\widgets\task_card.dart", "Dart", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 68
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\bloc\song_bloc.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\bloc\song_event.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\bloc\song_state.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 21
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\data\datasource\song_remote_datasource.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 33
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\data\model\song_model.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\data\repository\song_repository_impl.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\domain\entities\song.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\domain\repository\song_repository.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\domain\usecases\get_all_songs.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 15
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\page\playlist_screen.dart", "Dart", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 139
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\music\widgets\songs_bottomsheet.dart", "Dart", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 14, 287
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\firebase_options.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7, 89
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\generated\assets.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 30
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\injection_container.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 55
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\main.dart", "Dart", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 6, 261
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\observer.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\404page.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\about_developer.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\auth.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 79
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\bottom_nav_bar\bloc\navigation_bloc.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\bottom_nav_bar\bloc\navigation_events.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\bottom_nav_bar\bloc\navigation_states.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\bottom_nav_bar\widget\bottom_nav_bar.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 32
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\home_screen\home_screen.dart", "Dart", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 155
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\onboarding.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 63
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\presentation\tech_used.dart", "Dart", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\translations\codegen_loader.g.dart", "Dart", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 129
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\translations\locale_keys.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 51
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 5, 16
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 21, 27, 131
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 5, 19
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 4, 29
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
