"filename", "language", "C++", "CMake", "YAML", "Dart", "JSON", "XML", "Swift", "Markdown", "Properties", "Groovy", "comment", "blank", "total"
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\cubit\auth_state.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 9, 20
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\pages\login_page.dart", "Dart", 0, 0, 0, 244, 0, 0, 0, 0, 0, 0, 7, 5, 256
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\pages\logup_page.dart", "Dart", 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 10, 6, 299
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\widgets\widgets.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\chat_gemini\chat_with_gemini.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\bloc\doctor_bloc.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\bloc\doctor_event.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\bloc\doctor_state.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 7, 20
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\data\datasource\doctor_remote_datasource.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 6, 32
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\data\model\doctor_model.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 3, 41
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\data\repository\doctor_repository_impl.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\domain\entities\doctor.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\domain\repository\doctor_repository.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\domain\usecases\get_all_doctor.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\page\get_doctor.dart", "Dart", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 19, 5, 125
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\widget\get_doctor_bottom_sheet.dart", "Dart", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 10, 7, 182
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\chart_database\chart_database.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 60, 13, 82
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\chart_database\chart_database_state.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 14
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\daily_quotes\daily_quotes_bloc.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\daily_quotes\daily_quotes_event.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\daily_quotes\daily_quotes_state.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\mode_message\mode_message_bloc.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\mode_message\mode_message_event.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\mode_message\mode_message_state.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 10, 28
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\chart_mode\data_helper.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 18, 12, 87
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\datasource\meditation_remote_datasource.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
